CA2856646A1	A	184	192	MDV-3100	IDENTIFIER
CA2856646A1	A	223	230	AZD3514	IDENTIFIER
CA2856646A1	A	58	65	AZD5363	IDENTIFIER
CA2856646A1	A	637	644	AZD5363	IDENTIFIER
CN101027059B	A	381	387	ZD6474	IDENTIFIER
CN101027059B	A	461	467	ZD6474	IDENTIFIER
CN101027059B	A	518	524	ZD6474	IDENTIFIER
CN101027059B	A	628	634	ZD6474	IDENTIFIER
CN101027059B	A	663	669	ZD6474	IDENTIFIER
CN101027059B	T	23	29	ZD6474	IDENTIFIER
CN101314604A	A	563	569	LQ004C	IDENTIFIER
CN101337065B	A	226	231	MG132	IDENTIFIER
CN101337065B	A	281	286	MG132	IDENTIFIER
CN101337065B	A	395	400	MG132	IDENTIFIER
CN101337065B	A	55	60	MG132	IDENTIFIER
CN101337065B	A	947	952	MG132	IDENTIFIER
CN101337065B	T	7	12	MG132	IDENTIFIER
CN101947221A	A	356	362	STI571	IDENTIFIER
CN101947221A	A	571	577	STI571	IDENTIFIER
